GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
73.215,0.7965,0.25,137.81,7256.3675,2799.0029999999997,2.1278,-999.25,0.2818,0.4126,2007
69.152,0.7391,0.2,138.06,7243.2276,2804.5841,2.1202,-999.25,0.2893,0.4118,2008
65.965,0.6940000000000001,0.21,138.06,7243.2276,2817.0359999999996,2.1149,-999.25,0.2946,0.4109,2009
68.215,0.7258,0.27,137.31,7282.7908,2839.0723,2.1217,-999.25,0.2889,0.4104,2010
70.84,0.763,0.36,136.31,7336.2189,2870.3577,2.1301,-999.25,0.2819,0.4096,2011
62.262,0.6415,0.52,134.31,7445.4619999999995,2989.7909,2.1242,-999.25,0.2911,0.4039,2012
61.637,0.6327,0.7,127.78,7825.9509,3290.0682,2.1513,-999.25,0.2744,0.3927,2013
62.043,0.6384,0.79,125.78,7950.3896,3385.7098,2.1609,-999.25,0.2681,0.3892,2014
58.855,0.5932,0.72,126.28,7918.9104,3374.7286,2.1533,-999.25,0.275,0.389,2015
62.355,0.6428,0.61,123.78,8078.8496,3484.8607,2.1706,-999.25,0.2618,0.3857,2016
53.918,0.5231,0.53,124.78,8014.1048,3470.835,2.1517,-999.25,0.2792,0.3846,2017
53.793,0.5213,0.51,125.78,7950.3896,3421.2971,2.1469,-999.25,0.2822,0.3864,2018
56.543,0.5603,0.5,124.53,8030.1935,3472.058,2.1572,-999.25,0.27399999999999997,0.385,2019
57.73,0.5771,0.48,124.03,8062.5655,3492.2926,2.1615,-999.25,0.2705,0.3845,2020
57.199,0.5695,0.43,126.78,7887.6794,3357.3992,2.1482,-999.25,0.2792,0.3894,2021
52.105,0.4971,0.38,131.56,7601.0946,3153.7461,2.1188,-999.25,0.3008,0.396,2022
51.137,0.4833,0.36,131.81,7586.6778,3146.4565,2.1162,-999.25,0.3031,0.3961,2023
59.762,0.6058,0.33,130.31,7674.0081,3179.0545,2.137,-999.25,0.2846,0.3964,2024
54.168,0.5263,0.33,130.81,7644.6755,3179.4442,2.1255,-999.25,0.2954,0.3954,2025
49.199,0.4556,0.34,129.31,7733.354,3270.2895,2.1236,-999.25,0.2997,0.3911,2026
45.543,0.4036,0.37,132.31,7558.0077,3147.3555,2.1047,-999.25,0.3137,0.3951,2027
47.48,0.431,0.44,127.28,7856.6939,3375.0354,2.1295,-999.25,0.2971,0.3869,2028
56.512,0.5594,0.55,119.03,8401.2434,3763.5865,2.1829,-999.25,0.2579,0.3745,2029
59.824,0.6065,0.68,116.03,8618.4607,3918.7153,2.2034,-999.25,0.2428,0.3697,2030
58.105,0.5820000000000001,0.65,118.03,8472.4223,3812.1862,2.1906,-999.25,0.2521,0.3731,2031
53.418,0.5153,0.5,126.78,7887.6794,3373.8286,2.1417,-999.25,0.2857,0.38799999999999996,2032
56.48,0.5588,0.38,130.31,7674.0081,3192.8934,2.1315,-999.25,0.2902,0.3953,2033
58.543,0.5882,0.31,130.56,7659.3137,3172.7241,2.1338,-999.25,0.2874,0.3964,2034
58.199,0.5832,0.28,132.81,7529.5535,3072.4126,2.1237,-999.25,0.294,0.4001,2035
47.105,0.4251,0.31,131.56,7601.0946,3175.0315,2.1104,-999.25,0.3093,0.3943,2036
57.043,0.5667,0.36,124.78,8014.1048,3457.4713,2.1569,-999.25,0.2739,0.3857,2037
63.512,0.6589,0.43,121.03,8262.4143,3623.4032,2.1854,-999.25,0.2517,0.3809,2038
68.152,0.7251,0.55,125.03,7998.0805,3396.7743,2.1747,-999.25,0.2553,0.39,2039
61.762,0.6339,0.63,122.78,8144.649,3539.0776,2.1742,-999.25,0.26,0.3836,2040
62.293,0.6414,0.66,122.53,8161.2666,3549.7403,2.1762,-999.25,0.2583,0.3833,2041
70.402,0.7572,0.7,129.81,7703.5668,3157.8784,2.1571,-999.25,0.265,0.39899999999999997,2042
69.527,0.7447,0.73,127.53,7841.2922,3268.759,2.1657,-999.25,0.2601,0.3948,2043
58.637,0.5892,0.71,119.78,8348.6392,3712.85,2.1830000000000003,-999.25,0.2565,0.3767,2044
56.137,0.5534,0.68,121.03,8262.4143,3656.5082,2.1727,-999.25,0.2646,0.3782,2045
57.293,0.5699,0.64,118.53,8436.6827,3788.05,2.1866,-999.25,0.2551,0.3737,2046
62.105,0.6386,0.6,122.53,8161.2666,3550.6074,2.1759,-999.25,0.2586,0.3833,2047
59.105,0.5957,0.59,121.53,8228.421,3616.5501,2.1754,-999.25,0.2609,0.3803,2048
64.59,0.6742,0.61,121.28,8245.3826,3605.3335,2.1861,-999.25,0.2505,0.3818,2049
68.215,0.726,0.66,126.78,7887.6794,3310.4496,2.1668,-999.25,0.2603,0.3931,2050
66.402,0.7001,0.7,125.78,7950.3896,3367.1161,2.1683,-999.25,0.2606,0.3907,2051
68.902,0.7359,0.69,121.53,8228.421,3572.9508,2.1924,-999.25,0.2436,0.3838,2052
66.152,0.6965,0.64,118.53,8436.6827,3747.6581,2.2021,-999.25,0.2394,0.3771,2053
